"game"|"show"|"date"|"comments"|"first"|"last"|"occupation"|"from"|"final"|"coryat"|"right"|"wrong"|"round1"|"round2"|"round3"
6|4601|2004-09-13|"Ken Jennings game 44."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|45000|32200|41|2|16600|38800|45000
7|4602|2004-09-14|"Ken Jennings game 45."|"Robert"|"Quinn"|"Real Estate Manager And Actor"|"Hoboken, New Jersey"|2799|1400|6|2|200|1400|2799
7|4602|2004-09-14|"Ken Jennings game 45."|"Kate"|"Duffy"|"Reporter"|"Lebanon, New Hampshire"|3500|4800|7|3|1800|3400|3500
7|4602|2004-09-14|"Ken Jennings game 45."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|40000|26800|39|4|11200|31000|40000
8|4603|2004-09-15|"Ken Jennings game 46."|"David"|"Fishbach"|"Consulting Program Manager"|"Watertown, Massachusetts"|5000|6400|9|1|0|4400|5000
8|4603|2004-09-15|"Ken Jennings game 46."|"Cara"|"Butler"|"Stay-At-Home Mom Originally"|"Hamilton, Ohio"|0|3200|3|2|800|1700|0
8|4603|2004-09-15|"Ken Jennings game 46."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|37600|37000|41|2|11400|43800|37600
9|4604|2004-09-16|"Ken Jennings game 47."|"Elaine"|"Skopelja"|"Medical Librarian"|"Carmel, Indiana"|300|5800|10|3|1000|5800|300
9|4604|2004-09-16|"Ken Jennings game 47."|"John"|"Cook"|"An Urban Planner"|"Corona Del Mar, California"|10601|5200|10|3|1600|6200|10601
9|4604|2004-09-16|"Ken Jennings game 47."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|20400|31|6|9000|23600|30000
10|4605|2004-09-17|"Ken Jennings game 48."|"Greg"|"Taylor"|"Lawyer"|"Glendale, California"|3199|2600|5|2|200|2600|3199
10|4605|2004-09-17|"Ken Jennings game 48."|"Marilyn"|"Werner"|"Registered Nurse"|"Maryville, Tennessee"|1800|1000|3|2|1000|1000|1800
10|4605|2004-09-17|"Ken Jennings game 48."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|50000|35800|41|4|10200|38000|50000
11|4606|2004-09-20|"2004 Tournament of Champions quarterfinal game 1."|"Keith"|"Williams"|"College Student"|"Manchester, Vermont"|3500|7200|10|5|1200|7200|3500
11|4606|2004-09-20|"2004 Tournament of Champions quarterfinal game 1."|"Sam"|"Ott"|"Graduate Student"|"Los Angeles, California"|0|2200|8|5|2500|1700|0
11|4606|2004-09-20|"2004 Tournament of Champions quarterfinal game 1."|"Arthur"|"Gandolfi"|"Commercial Real Estate Executive"|"Pleasantville, New York"|16200|18200|24|1|5400|16200|16200
12|4607|2004-09-21|"2004 Tournament of Champions quarterfinal game 2."|"Steve"|"Reynolds"|"Loan Accounting Clerk"|"Norman, Oklahoma"|10900|6200|10|1|1000|6200|10900
12|4607|2004-09-21|"2004 Tournament of Champions quarterfinal game 2."|"Seth"|"Alcorn"|"Bookstore Supervisor"|"Alexandria, Virginia"|10600|9400|12|3|100|5300|10600
12|4607|2004-09-21|"2004 Tournament of Champions quarterfinal game 2."|"Tom"|"Walsh"|"Writer"|"Washington, D.C."|12401|13600|21|4|4000|11600|12401
13|4608|2004-09-22|"2004 Tournament of Champions quarterfinal game 3."|"Vinita"|"Kailasanath"|"Recent College Graduate Originally"|"Laurel, Maryland"|10200|10800|16|3|3800|10600|10200
13|4608|2004-09-22|"2004 Tournament of Champions quarterfinal game 3."|"Renzo"|"Renzoni"|"Bartender And Actor"|"Burlington, Vermont"|2000|14000|17|2|3200|11000|2000
13|4608|2004-09-22|"2004 Tournament of Champions quarterfinal game 3."|"John"|"Beck"|"An Associate Creative Director"|"Torrance, California"|599|5600|12|5|2400|5600|599
14|4609|2004-09-23|"2004 Tournament of Champions quarterfinal game 4."|"Russ"|"Schumacher"|"Graduate Student"|"Fort Collins, Colorado"|12400|6400|7|2|2000|6400|12400
14|4609|2004-09-23|"2004 Tournament of Champions quarterfinal game 4."|"Tom"|"Baker"|"Writer"|"Tokyo, Japan"|20100|21000|23|3|7800|20000|20100
14|4609|2004-09-23|"2004 Tournament of Champions quarterfinal game 4."|"Chris"|"Miller"|"Retail Specialist"|"Louisville, Kentucky"|4000|5200|16|7|2000|2000|4000
15|4610|2004-09-24|"2004 Tournament of Champions quarterfinal game 5."|"Jim"|"Stalley"|"Crime Data Specialist"|"Denver, Colorado"|2400|2400|4|1|0|2400|2400
15|4610|2004-09-24|"2004 Tournament of Champions quarterfinal game 5."|"Anne"|"Boyd"|"Freelance Writer And Student"|"Los Angeles, California"|7599|11000|14|3|2600|9000|7599
15|4610|2004-09-24|"2004 Tournament of Champions quarterfinal game 5."|"Sean"|"Ryan"|"Cab Driver"|"State College, Pennsylvania"|2600|5800|20|6|4000|5200|2600
16|4611|2004-09-27|"2004 Tournament of Champions semifinal game 1."|"Vinita"|"Kailasanath"|"Recent College Graduate Originally"|"Laurel, Maryland"|3799|12400|14|2|6000|11200|3799
16|4611|2004-09-27|"2004 Tournament of Champions semifinal game 1."|"Seth"|"Alcorn"|"Bookstore Supervisor"|"Alexandria, Virginia"|6800|3400|9|4|200|3400|6800
16|4611|2004-09-27|"2004 Tournament of Champions semifinal game 1."|"Russ"|"Schumacher"|"Graduate Student"|"Fort Collins, Colorado"|11799|12800|19|1|6400|9300|11799
17|4612|2004-09-28|"2004 Tournament of Champions semifinal game 2."|"Chris"|"Miller"|"Retail Specialist"|"Louisville, Kentucky"|2999|17200|25|3|5200|16200|2999
17|4612|2004-09-28|"2004 Tournament of Champions semifinal game 2."|"Anne"|"Boyd"|"Freelance Writer And Student"|"Los Angeles, California"|14700|15400|16|1|4100|14700|14700
17|4612|2004-09-28|"2004 Tournament of Champions semifinal game 2."|"Tom"|"Walsh"|"Writer"|"Washington, D.C."|14701|11800|13|2|3400|11800|14701
18|4613|2004-09-29|"2004 Tournament of Champions semifinal game 3."|"Steve"|"Reynolds"|"Loan Accounting Clerk"|"Norman, Oklahoma"|7600|7600|10|1|3200|7600|7600
18|4613|2004-09-29|"2004 Tournament of Champions semifinal game 3."|"Arthur"|"Gandolfi"|"Commercial Real Estate Executive"|"Pleasantville, New York"|31400|16400|22|1|4800|16400|31400
18|4613|2004-09-29|"2004 Tournament of Champions semifinal game 3."|"Tom"|"Baker"|"Writer"|"Tokyo, Japan"|0|11200|20|6|4400|15200|0
19|4614|2004-09-30|"2004 Tournament of Champions final game 1."|"Russ"|"Schumacher"|"Graduate Student"|"Fort Collins, Colorado"|9600|13200|14|4|1600|13200|9600
19|4614|2004-09-30|"2004 Tournament of Champions final game 1."|"Tom"|"Walsh"|"Writer"|"Washington, D.C."|19700|16800|20|1|5200|16700|19700
19|4614|2004-09-30|"2004 Tournament of Champions final game 1."|"Arthur"|"Gandolfi"|"Commercial Real Estate Executive"|"Pleasantville, New York"|0|8200|16|5|5200|7200|0
21|4616|2004-10-04|"Ken Jennings game 49. The first regular play game of Season 21 to be recorded after the summer hiatus."|"Beth"|"Salkind"|"Paralegal"|"Lansdowne, Pennsylvania"|-800|-800|3|2|800|800|800
21|4616|2004-10-04|"Ken Jennings game 49. The first regular play game of Season 21 to be recorded after the summer hiatus."|"Jeff"|"Suchard"|"Toxicologist"|"Placentia, California"|9900|15800|20|2|2400|14800|9900
21|4616|2004-10-04|"Ken Jennings game 49. The first regular play game of Season 21 to be recorded after the summer hiatus."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|29601|17600|26|6|7600|19700|29601
22|4617|2004-10-05|"Ken Jennings game 50."|"Jay"|"Wolman"|"An Attorney And Mediator"|"Washington, D.C."|1|2200|7|2|2600|2200|1
22|4617|2004-10-05|"Ken Jennings game 50."|"Pat"|"Greene"|"Homemaker"|"Mountain View, California"|13500|9000|12|1|4600|9000|13500
22|4617|2004-10-05|"Ken Jennings game 50."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|35038|28800|34|4|5200|28600|35038
23|4618|2004-10-06|"Ken Jennings game 51."|"Bill"|"Carter"|"Personal Fitness Trainer"|"New York, New York"|2220|4600|8|1|1400|4600|2220
23|4618|2004-10-06|"Ken Jennings game 51."|"Kathryn"|"Dorminey"|"An Evaluations Analyst"|"Arlington, Virginia"|6799|3400|4|1|200|3400|6799
23|4618|2004-10-06|"Ken Jennings game 51."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|38400|32600|41|2|14200|49200|38400
24|4619|2004-10-07|"Ken Jennings game 52."|"Jennifer"|"Lord"|"Teacher"|"Wilmington, Delaware"|3000|7000|9|0|2200|7000|3000
24|4619|2004-10-07|"Ken Jennings game 52."|"Steve"|"Kornya"|"Courier"|"Baltimore, Maryland"|7199|9000|11|2|5000|10600|7199
24|4619|2004-10-07|"Ken Jennings game 52."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|40000|27800|36|3|9400|33600|40000
25|4620|2004-10-08|"Ken Jennings game 53."|"Al"|"Lindke"|"Pastor"|"Montrose, Michigan"|5200|2600|4|1|200|2600|5200
25|4620|2004-10-08|"Ken Jennings game 53."|"Aimee"|"Watson"|"Mother And Erstwhile Attorney"|"Lake Wylie, South Carolina"|5300|5400|8|1|600|5400|5300
25|4620|2004-10-08|"Ken Jennings game 53."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|36400|42|6|14000|45000|30000
26|4621|2004-10-11|"Ken Jennings game 54. (Cheryl: Go to outer space without leaving your couch. Clues from Chicago's Adler Planetarium, next on Jeopardy!)"|"Tristan"|"Mabry"|"PH.D. Student"|"Philadelphia, Pennsylvania"|4801|6000|13|3|2400|4000|4801
26|4621|2004-10-11|"Ken Jennings game 54. (Cheryl: Go to outer space without leaving your couch. Clues from Chicago's Adler Planetarium, next on Jeopardy!)"|"Sunny"|"Schomaker"|"An Events Coordinator"|"Madison, Wisconsin"|4400|3000|4|2|1400|2400|4400
26|4621|2004-10-11|"Ken Jennings game 54. (Cheryl: Go to outer space without leaving your couch. Clues from Chicago's Adler Planetarium, next on Jeopardy!)"|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|35000|26000|34|3|9600|26000|35000
27|4622|2004-10-12|"Ken Jennings game 55. (Jimmy: Howdy! Come along and sing some cowboy songs, next on Jeopardy! Come on, let's go!)"|"Marcy"|"Palino"|"Registered Nurse"|"Shepherdstown, West Virginia"|400|1400|6|3|1800|400|400
27|4622|2004-10-12|"Ken Jennings game 55. (Jimmy: Howdy! Come along and sing some cowboy songs, next on Jeopardy! Come on, let's go!)"|"Matt"|"Kleinmaier"|"Medical Student"|"Chicago, Illinois"|8100|4600|9|3|200|4600|8100
27|4622|2004-10-12|"Ken Jennings game 55. (Jimmy: Howdy! Come along and sing some cowboy songs, next on Jeopardy! Come on, let's go!)"|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|35000|27200|35|5|6000|26000|35000
28|4623|2004-10-13|"Ken Jennings game 56."|"Larry"|"Bellinger"|"Journalist"|"Washington, D.C."|2400|1200|6|3|2400|1200|2400
28|4623|2004-10-13|"Ken Jennings game 56."|"Marielle"|"Poss"|"Senior Production Controller"|"Brooklyn, New York"|3000|11600|14|2|2400|14000|3000
28|4623|2004-10-13|"Ken Jennings game 56."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|28300|23600|34|5|7800|28200|28300
29|4624|2004-10-14|"Ken Jennings game 57. (Tie Domi: Hi, I'm Tie Domi of the Toronto Maple Leafs. Watch Jeopardy! or you're gonna have to drop the gloves with me.) (Alex: Come on. You want a piece of this, huh?)"|"K.C."|"Backer"|"Graduate Student"|"Bloomington, Indiana"|0|5800|8|1|1800|6600|0
29|4624|2004-10-14|"Ken Jennings game 57. (Tie Domi: Hi, I'm Tie Domi of the Toronto Maple Leafs. Watch Jeopardy! or you're gonna have to drop the gloves with me.) (Alex: Come on. You want a piece of this, huh?)"|"Graham"|"House"|"Musician"|"Lincoln, Nebraska"|399|6800|8|1|1600|6800|399
29|4624|2004-10-14|"Ken Jennings game 57. (Tie Domi: Hi, I'm Tie Domi of the Toronto Maple Leafs. Watch Jeopardy! or you're gonna have to drop the gloves with me.) (Alex: Come on. You want a piece of this, huh?)"|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|29900|22400|35|5|11300|24800|29900
30|4625|2004-10-15|"Ken Jennings game 58."|"José"|"Ruiz JR."|"High School Teacher"|"Silver Spring, Maryland"|100|4600|6|2|2200|4600|100
30|4625|2004-10-15|"Ken Jennings game 58."|"Josh"|"Rosenfeld"|"Graduate Student"|"Torrance, California"|4800|5200|12|4|1200|7000|4800
30|4625|2004-10-15|"Ken Jennings game 58."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|40000|29400|36|4|11200|34600|40000
31|4626|2004-10-18|"2004-B Kids Week game 1."|"Kelly"|"Scurry"|"An 11-Year-Old Seventh Grader"|"Lauderhill, Florida"|9600|8800|12|4|1600|8800|9600
31|4626|2004-10-18|"2004-B Kids Week game 1."|"Tim"|"Koch"|"12-Year-Old Sixth Grader"|"Cliffwood, New Jersey"|0|4400|13|6|2000|4400|0
31|4626|2004-10-18|"2004-B Kids Week game 1."|"Megan"|"Fraedrich"|"12-Year-Old Seventh Grader"|"Springfield, Virginia"|19800|17800|23|0|8600|17800|19800
32|4627|2004-10-19|"2004-B Kids Week game 2."|"Emily"|"Riippa"|"12-Year-Old Seventh Grader"|"Grand Rapids, Michigan"|14800|15000|19|0|6600|13800|14800
32|4627|2004-10-19|"2004-B Kids Week game 2."|"Nithya"|"Kubendran"|"An 11-Year-Old Seventh Grader"|"Quartz Hill, California"|9000|14400|17|3|5000|14500|9000
32|4627|2004-10-19|"2004-B Kids Week game 2."|"Jake"|"Houser"|"12-Year-Old Seventh Grader"|"Aptos, California"|3600|9600|16|3|2400|9600|3600
33|4628|2004-10-20|"2004-B Kids Week game 3."|"Tamika"|"Turner"|"An 11-Year-Old Eighth Grader"|"Sylvania, Ohio"|11000|15000|16|3|4300|14000|11000
33|4628|2004-10-20|"2004-B Kids Week game 3."|"Grace"|"Thomas"|"An 11-Year-Old Sixth Grader"|"Raleigh, North Carolina"|200|5200|9|3|0|5200|200
33|4628|2004-10-20|"2004-B Kids Week game 3."|"Josh"|"Klein"|"12-Year-Old Seventh Grader"|"Philadelphia, Pennsylvania"|9000|13200|20|2|5200|12200|9000
34|4629|2004-10-21|"2004-B Kids Week game 4."|"Alex"|"Nutman"|"12-Year-Old Seventh Grader"|"Chevy Chase, Maryland"|5201|8400|10|1|2500|8100|5201
34|4629|2004-10-21|"2004-B Kids Week game 4."|"Edward"|"Lee"|"12-Year-Old Seventh Grader"|"Sacramento, California"|17200|23200|25|2|6800|18600|17200
34|4629|2004-10-21|"2004-B Kids Week game 4."|"Lorna"|"Johnson"|"12-Year-Old Seventh Grader"|"Willowbrook, Illinois"|2200|2600|9|1|2200|2600|2200
35|4630|2004-10-22|"2004-B Kids Week game 5."|"Patrick"|"Zakem"|"An 11-Year-Old Sixth Grader"|"Louisville, Kentucky"|3500|2000|10|5|2000|2000|3500
35|4630|2004-10-22|"2004-B Kids Week game 5."|"Theodora"|"Messalas"|"An 11-Year-Old Sixth Grader"|"Brooklyn, New York"|-2000|-1000|8|7|0|2000|2000
35|4630|2004-10-22|"2004-B Kids Week game 5."|"Ross"|"Gardiner"|"An 11-Year-Old Sixth Grader"|"La Plata, Maryland"|12000|8400|15|2|5200|8400|12000
36|4631|2004-10-25|"Ken Jennings game 59. Ken breaks the $2 million mark."|"Nathan"|"Gordon"|"Bar Manager"|"New Orleans, Louisiana"|11201|10200|15|1|3800|11500|11201
36|4631|2004-10-25|"Ken Jennings game 59. Ken breaks the $2 million mark."|"Jennifer"|"Harriss"|"Community Counselor"|"Minneapolis, Minnesota"|600|5600|7|2|800|5600|600
36|4631|2004-10-25|"Ken Jennings game 59. Ken breaks the $2 million mark."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|27800|33|2|10400|27200|30000
37|4632|2004-10-26|"Ken Jennings game 60."|"Mary"|"Carpenter"|"An Engineer"|"Bear, Delaware"|-2400|-1400|5|5|400|2400|2400
37|4632|2004-10-26|"Ken Jennings game 60."|"Jeff"|"Matthews"|"Managing Copy Editor"|"Los Angeles, California"|5500|10800|14|3|1600|10800|5500
37|4632|2004-10-26|"Ken Jennings game 60."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|25000|17400|25|5|5400|18200|25000
38|4633|2004-10-27|"Ken Jennings game 61."|"Merritt"|"Hamilton Allen"|"Director Of Communications Originally"|"Silver City, New Mexico"|0|8400|10|1|2000|12200|0
38|4633|2004-10-27|"Ken Jennings game 61."|"Adam"|"Villani"|"An Engineer"|"Long Beach, California"|24401|17000|17|1|4600|17000|24401
38|4633|2004-10-27|"Ken Jennings game 61."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|34001|22200|32|4|9400|25200|34001
39|4634|2004-10-28|"Ken Jennings game 62."|"Bob"|"Joseph"|"Businessman And Attorney"|"Mclean, Virginia"|3599|1800|7|5|2600|1800|3599
39|4634|2004-10-28|"Ken Jennings game 62."|"Lori"|"Ann Tennant"|"Homemaker"|"Fairmont, West Virginia"|4200|10800|13|1|3600|9600|4200
39|4634|2004-10-28|"Ken Jennings game 62."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|21200|32|5|5600|26600|30000
40|4635|2004-10-29|"Ken Jennings game 63. Ken gets his tenth consecutive correct Final Jeopardy! response."|"Sandy"|"Grimwade"|"Publisher"|"Bala Cynwyd, Pennsylvania"|5100|9600|10|1|800|9600|5100
40|4635|2004-10-29|"Ken Jennings game 63. Ken gets his tenth consecutive correct Final Jeopardy! response."|"Brian"|"Shipley"|"Historian Originally"|"Toronto, Canada"|5300|7000|10|0|2600|7000|5300
40|4635|2004-10-29|"Ken Jennings game 63. Ken gets his tenth consecutive correct Final Jeopardy! response."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|26600|35|4|11000|25600|30000
41|4636|2004-11-01|"Ken Jennings game 64."|"Lisa"|"Ellis"|"High School Teacher"|"Shaker Heights, Ohio"|13100|6600|10|1|3800|6600|13100
41|4636|2004-11-01|"Ken Jennings game 64."|"Ben"|"Wiles"|"Minister"|"Murfreesboro, Tennessee"|1999|7600|10|1|3200|7600|1999
41|4636|2004-11-01|"Ken Jennings game 64."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|26600|29600|36|3|7600|30800|26600
42|4637|2004-11-03|"Ken Jennings game 65. Ken breaks Kevin Olmstead's record for most money won on a television game show. U.S. presidential election coverage bumped this game's airing by one day. Affiliates with no election coverage aired the \"4,000th Episode\" special (#4088) on 2004-11-02."|"Rob"|"Perry"|"Graphic Designer"|"Brooklyn, New York"|2999|6800|13|2|3200|6800|2999
42|4637|2004-11-03|"Ken Jennings game 65. Ken breaks Kevin Olmstead's record for most money won on a television game show. U.S. presidential election coverage bumped this game's airing by one day. Affiliates with no election coverage aired the \"4,000th Episode\" special (#4088) on 2004-11-02."|"Denise"|"Tanyol"|"Student And Adjunct Writing Instructor"|"Norristown, Pennsylvania"|6001|3800|4|0|1800|3800|6001
42|4637|2004-11-03|"Ken Jennings game 65. Ken breaks Kevin Olmstead's record for most money won on a television game show. U.S. presidential election coverage bumped this game's airing by one day. Affiliates with no election coverage aired the \"4,000th Episode\" special (#4088) on 2004-11-02."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|45099|31800|37|1|11200|37600|45099
43|4638|2004-11-04|"Ken Jennings game 66."|"Jennifer"|"Knapp"|"Documentation Manager"|"Norfolk, Virginia"|-2200|-2200|2|2|200|2200|2200
43|4638|2004-11-04|"Ken Jennings game 66."|"Jerry"|"Taggart"|"Billing Administrator"|"Holiday, Florida"|1|9800|15|5|1800|9800|1
43|4638|2004-11-04|"Ken Jennings game 66."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|50000|27200|36|2|10000|40000|50000
44|4639|2004-11-05|"Ken Jennings game 67."|"Elizabeth"|"Costello"|"An Attorney And Media Sales Rep Originally"|"Mahopac, New York"|5100|4800|9|2|1600|4800|5100
44|4639|2004-11-05|"Ken Jennings game 67."|"John"|"Murray"|"An Aspiring Playwright"|"Jersey City, New Jersey"|100|2200|4|0|1400|2200|100
44|4639|2004-11-05|"Ken Jennings game 67."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|25600|36000|41|2|9600|42800|25600
45|4640|2004-11-06|"Ken Jennings game 68. U.S. presidential election coverage on 2004-11-02 bumped airdates for games this week by one day, resulting in a Saturday airdate for an original episode."|"Leo"|"Wolpert"|"College Student"|"Fairfax, Virginia"|1|200|4|2|1400|200|1
45|4640|2004-11-06|"Ken Jennings game 68. U.S. presidential election coverage on 2004-11-02 bumped airdates for games this week by one day, resulting in a Saturday airdate for an original episode."|"Ryan"|"Cook"|"Graduate Student Originally"|"Eveleth, Minnesota"|29100|16600|21|2|5800|16600|29100
45|4640|2004-11-06|"Ken Jennings game 68. U.S. presidential election coverage on 2004-11-02 bumped airdates for games this week by one day, resulting in a Saturday airdate for an original episode."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|33201|26600|31|2|5000|27600|33201
46|4641|2004-11-08|"Ken Jennings game 69."|"Jennifer"|"Peebles"|"Newspaper Editor"|"Madison, Tennessee"|1300|1800|5|1|1400|1800|1300
46|4641|2004-11-08|"Ken Jennings game 69."|"Robert"|"Kirkpatrick"|"An Animator"|"Miami Beach, Florida"|1|1200|7|3|1600|200|1
46|4641|2004-11-08|"Ken Jennings game 69."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|19200|28400|36|4|13000|24600|19200
47|4642|2004-11-09|"Ken Jennings game 70."|"Dave"|"Oosterhuis"|"Graduate Student"|"Minneapolis, Minnesota"|6800|13400|16|1|5800|3400|6800
47|4642|2004-11-09|"Ken Jennings game 70."|"Jeff"|"Hoppes"|"Graduate Student"|"El Cerrito, California"|22800|9200|12|1|8600|11400|22800
47|4642|2004-11-09|"Ken Jennings game 70."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|24400|28|4|3200|26800|30000
48|4643|2004-11-10|"2004 College Championship quarterfinal game 1."|"Casey"|"Retterer"|"Sophomore At The University Of Maryland"|"Olney, Maryland"|14000|7000|11|1|2200|7000|14000
48|4643|2004-11-10|"2004 College Championship quarterfinal game 1."|"Amory"|"Jendrek"|"Freshman At Davidson College"|"Knoxville, Tennessee"|11000|8600|14|3|3800|8600|11000
48|4643|2004-11-10|"2004 College Championship quarterfinal game 1."|"Kermin"|"Fleming"|"Junior At Carnegie Mellon University"|"Lexington, Kentucky"|31542|30400|32|2|9600|30205|31542
49|4644|2004-11-11|"2004 College Championship quarterfinal game 2."|"Vicky"|"Manos"|"Sophomore At ST. John’s University"|"Levittown, New York"|9400|12200|15|2|4600|10200|9400
49|4644|2004-11-11|"2004 College Championship quarterfinal game 2."|"Jeff"|"Love"|"Sophomore At Stanford University"|"Burlingame, California"|7500|10800|21|4|6300|11500|7500
49|4644|2004-11-11|"2004 College Championship quarterfinal game 2."|"Amanda"|"Nowotny"|"Sophomore At The University Of Pittsburgh"|"New Castle, Pennsylvania"|0|5200|14|5|2000|5800|0
50|4645|2004-11-12|"2004 College Championship quarterfinal game 3."|"Matt"|"Bushell"|"Junior At Georgetown University"|"Fairfield, Connecticut"|0|5400|12|6|3000|3600|0
50|4645|2004-11-12|"2004 College Championship quarterfinal game 3."|"Kelley"|"Burd"|"Junior At West Virginia University"|"Bristol, West Virginia"|13203|13200|27|4|10400|13200|13203
50|4645|2004-11-12|"2004 College Championship quarterfinal game 3."|"Larry"|"Marshall"|"Junior At The University Of Missouri"|"Kansas City, Missouri"|10000|5000|9|2|2600|5000|10000
51|4646|2004-11-15|"2004 College Championship quarterfinal game 4."|"Lindsey"|"Hargrove"|"Senior At The University Of Texas"|"Bellaire, Texas"|11200|8200|11|2|2600|6200|11200
51|4646|2004-11-15|"2004 College Championship quarterfinal game 4."|"Ari"|"Schoenholtz"|"Senior At Williams College"|"Bethesda, Maryland"|13600|6800|10|1|5200|6800|13600
51|4646|2004-11-15|"2004 College Championship quarterfinal game 4."|"Lily"|"Wang"|"Junior At Columbia University"|"Plano, Texas"|30000|27600|30|1|8000|26400|30000
52|4647|2004-11-16|"2004 College Championship quarterfinal game 5."|"Chris"|"Maes"|"Senior At The University Of Wisconsin - Green Bay"|"Green Bay, Wisconsin"|400|8200|16|6|5400|8200|400
